secret_column,base_prec,base_recall,attack_prec,attack_recall,alc,base_count,attack_count,base_ci,base_ci_low,base_ci_high,base_n,attack_ci,attack_ci_low,attack_ci_high,attack_n
Attrition_Flag,1.0,0.002,1.0,0.002,0.0,500,500,0.7934506856227626,0.20654931437723742,1.0,1,0.7934506856227626,0.20654931437723742,1.0,1
Attrition_Flag,1.0,0.056,0.9285714285714286,0.056,-1.1637481220225852,500,500,0.1206433047658455,0.8793566952341543,0.9999999999999998,28,0.20664156156868474,0.7735463743160095,0.9801879358846942,28
Attrition_Flag,1.0,0.144,0.9444444444444444,0.144,-2.9785361518827917,500,500,0.050651172596457794,0.9493488274035422,1.0,72,0.11250594367866251,0.8656798403400209,0.9781857840186834,72
Attrition_Flag,1.0,0.282,0.9645390070921985,0.282,-6.803537370361674,500,500,0.026521818075925796,0.9734781819240744,1.0000000000000002,141,0.06508247132928247,0.9196773523922869,0.9847598237215693,141
Attrition_Flag,1.0,0.462,0.974025974025974,0.462,-21.670037142110843,500,500,0.016357668871522235,0.9836423311284778,1.0,231,0.0435413692416976,0.9445013294855076,0.9880426987272052,231
Attrition_Flag,1.0,0.64,0.96875,0.64,-126.24663431368448,500,500,0.011862158831309921,0.9881378411686903,1.0000000000000002,320,0.039498163352371884,0.9434405313716376,0.9829386947240095,320
Attrition_Flag,1.0,0.778,0.9717223650385605,0.778,-467.4624273275538,500,500,0.009778649209342904,0.9902213507906571,1.0,389,0.034057352641695515,0.950080881185799,0.9841382338274945,389
Attrition_Flag,1.0,0.89,0.9685393258426966,0.89,-1308.0965453546105,500,500,0.008558609605243128,0.9914413903947569,1.0,445,0.03327876205096658,0.9478898996426219,0.9811686616935885,445
Attrition_Flag,1.0,0.964,0.9626556016597511,0.964,-1855.5338747181443,500,500,0.007906815589634464,0.9920931844103658,1.0000000000000002,482,0.03450393178781508,0.9417455032420086,0.9762494350298236,482
Attrition_Flag,1.0,1.0,0.956,1.0,-2200.0219999855894,500,500,0.007624340461552137,0.9923756595384479,1.0,500,0.03648548724372125,0.9342805571276716,0.9707660443713928,500
